HOLE.ID,DISTANCE,AZIMUTH,DIP
BHWS_509_E_021,0,50.71,0
BHWS_509_E_025,0,75.25,0
BHWS_509_E_026,0,68.1,0
BHWS_509_E_028,0,3.1,0
BHWS_517_DXC_E_001,0,57.29,0
BHWS_517_DXC_E_002,0,46.74,0
BHWS_517_DXC_E_003,0,36.59,0
BHWS_517_DXC_E_004,0,35.91,0
BHWS_517_DXC_E_005,0,38.1,0
BHWS_517_DXC_E_006,0,43.68,0
BHWS_517_DXC_E_007,0,47.76,0
BHWS_517_DXC_E_008,0,27.85,0
BHWS_517_DXC_E_009,0,18.88,0
BHWS_517_DXC_E_010,0,15.38,0
BHWS_517_DXC_E_011,0,27.97,0
BHWS_517_DXC_E_012,0,29,0
BHWS_517_DXC_E_013,0,34.25,0
BHWS_517_DXC_E_014,0,30.5,0
BHWS_517_DXC_E_015,0,36.57,0
BHWS_517_DXC_E_016,0,41.83,0
BHWS_517_DXC_E_017,0,40.45,0
BHWS_517_DXC_E_018,0,41.55,0
BHWS_517_DXC_E_019,0,27.02,0
BHWS_517_DXC_E_020,0,21.78,0
BHWS_517_DXC_E_021,0,20.52,0
BHWS_517_DXC_E_022,0,22.52,0
BHWS_517_DXC_E_023,0,16.97,0
BHWS_517_DXC_E_024,0,23.83,0
BHWS_517_DXC_E_025,0,26.75,0
BHWS_517_DXC_E_026,0,32.84,0
BHWS_517_DXC_W_001,0,49.4,0
BHWS_530E_001,0,233.82,0
BHWS_530E_002,0,226.74,0
BHWS_530E_003,0,223.07,0
BHWS_530E_004,0,217.81,0
BHWS_530E_005,0,218.56,0
BHWS_530E_006,0,215.74,0
BHWS_530E_007,0,223.01,0
BHWS_530E_008,0,227.7,0
BHWS_530E_009,0,215.82,0
BHWS_530E_010,0,220.64,0
BHWS_530E_011,0,222.76,0
BHWS_530E_012,0,218.27,0
BHWS_530E_013,0,217.82,0
BHWS_530E_014,0,215.74,0
BHWS_530E_015,0,215.64,0
BHWS_530E_016,0,207.18,0
BHWS_530E_017,0,194.29,0
BHWS_530E_018,0,187.33,0
BHWS_530E_019,0,185.7,0
BHWS_530E_020,0,197.17,0
BHWS_530E_021,0,204.9,0
BHWS_530E_022,0,191.28,0
BHWS_530E_023,0,179.06,0
BHWS_530E_024,0,223.85,0
BHWS_530E_025,0,228.59,0
BHWS_530E_026,0,228.05,0
BHWS_530E_027,0,224.76,0
BHWS_530E_028,0,212.72,0
BHWS_530E_029,0,194.35,0
BHWS_530E_030,0,204.15,0
BHWS_530E_031,0,214.16,0
BHWS_530E_032,0,212.15,0
BHWS_530E_033,0,223.2,0
BHWS_530E_034,0,224.03,0
BHWS_530E_035,0,228.28,0
BHWS_530E_036,0,210.56,0
BHWS_530E_037,0,206.52,0
BHWS_530E_038,0,205.22,0
BHWS_530E_039,0,215.84,0
BHWS_530E_040,0,220.54,0
BHWS_530E_041,0,216.17,0
BHWS_530E_042,0,217.51,0
BHWS_530E_043,0,219.28,0
BHWS_530E_044,0,221.58,0
BHWS_530E_045,0,215.31,0
BHWS_530E_046,0,216.38,0
BHWS_530W_001,0,232.19,0
BHWS_530W_002,0,225,0
BHWS_530W_003,0,231.27,0
BHWS_530W_004,0,244.95,0
BHWS_530W_005,0,242.21,0
BHWS_530W_006,0,239.6,0
BHWS_530W_007,0,241.97,0
BHWS_530W_008,0,250.51,0
BHWS_530W_009,0,254.53,0
BHWS_530W_010,0,255.9,0
BHWS_545E_001,0,207,0
BHWS_545E_002,0,207,0
BHWS_545E_003,0,206,0
BHWS_545E_004,0,207,0
BHWS_545E_005,0,212,0
BHWS_545E_006,0,211,0
BHWS_545E_007,0,210,0
BHWS_545E_008,0,216,0
BHWS_545E_009,0,225,0
BHWS_545E_010,0,208,0
BHWS_545E_011,0,203,0
